net,length_um
_1672_,18.4
_1914_,18.4
_1355_,18.28
_0898_,18.26
_1834_,18.24
_2138_,18.24
_1075_,18.22
_0340_,18.2
_1633_,18.2
_1018_,18.14
_0743_,18.1
_1671_,18.1
net1078,18.08
_0193_,18.02
_0825_,18.01
in_data[1000],18.01
net1079,18
_0221_,17.98
_1900_,17.96
_1412_,17.94
_1733_,17.94
_1766_,17.94
_1826_,17.94
_1047_,17.92
_0238_,17.88
_1631_,17.84
in_data[56],17.84
_2000_,17.82
_0940_,17.78
_1853_,17.74
_0068_,17.68
_1150_,17.68
_1283_,17.68
_0624_,17.64
in_data[828],17.64
_0633_,17.58
_1713_,17.56
_2002_,17.56
_1629_,17.52
_1203_,17.48
_2013_,17.48
_1866_,17.46
_1751_,17.44
_1591_,17.42
_1782_,17.42
_1762_,17.4
_2116_,17.4
_1380_,17.36
_1855_,17.32
_0233_,17.3
_1726_,17.3
in_data[712],17.3
in_data[721],17.3
in_data[97],17.3
net1048,17.3
_0665_,17.28
net1065,17.27
_1793_,17.24
in_data[203],17.22
in_data[258],17.22
in_data[895],17.22
_1247_,17.2
_0877_,17.14
_1593_,17.14
_1033_,17.12
_1093_,17.12
_1991_,17.1
_1569_,17.02
_1309_,16.98
_2001_,16.94
_1646_,16.92
in_data[193],16.92
in_data[75],16.92
in_data[874],16.92
_1956_,16.9
_1992_,16.84
_1886_,16.82
_0255_,16.8
_0739_,16.8
_0105_,16.78
_0131_,16.78
_1523_,16.78
_1958_,16.76
in_data[460],16.76
in_data[670],16.76
_1454_,16.72
_1943_,16.7
_1477_,16.68
_0156_,16.66
_1796_,16.62
_1139_,16.6
_2006_,16.58
in_data[396],16.58
in_data[947],16.58
in_data[859],16.57
_0571_,16.56
_1627_,16.56
net1036,16.56
_1541_,16.54
_1352_,16.52
in_data[142],16.46
_0364_,16.44
_1149_,16.44
_2090_,16.42
net1070,16.42
_1338_,16.38
